title,album,artist,track_number,album_artist,release_date,creation_timestamp,duration_ms,explicit,spotify_popularity,comment,rating,last_played_timestamp,genre,play_count,id
Me and Guiliani Down by the School Yard - A True Story,Louden Up Now,!!!,8,!!!,2004-06-08,2017-07-25T02:14:11Z,542893,False,,,,,,,df32c49399c2ab866d5164c8e1faa5fd
Voices Carry - Single Mix,Coming Up Close: A Retrospective,'Til Tuesday,2,'Til Tuesday,1985,2017-11-25T15:40:39Z,261266,False,,,,,,,d2e7095b5a639552035f80ae6e5fa6fc
Midnight Marauders Tour Guide,Midnight Marauders,A Tribe Called Quest,1,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,45333,False,,,,,,,aed1914e05346bc35cb578bf16c88872
Steve Biko (Stir It Up),Midnight Marauders,A Tribe Called Quest,2,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,191533,False,,,,,,,83fc54864838391cc718fdbd83f6032e
Award Tour,Midnight Marauders,A Tribe Called Quest,3,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,226440,False,,,,,,,7bb62e88441a5a7fa5cf032cc5005f29
8 Million Stories,Midnight Marauders,A Tribe Called Quest,4,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,260893,False,,,,,,,b2636f5a4a485175c641f3053d1e7591
Sucka Nigga,Midnight Marauders,A Tribe Called Quest,5,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,245080,True,,,,,,,a85a30df7c7d9f1088886ee4ef77f6ee
Midnight,Midnight Marauders,A Tribe Called Quest,6,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,265026,False,,,,,,,6a7a8d7fa12f22ed13a2181816f0125d
We Can Get Down,Midnight Marauders,A Tribe Called Quest,7,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,259120,False,,,,,,,24959192c0c0646817a4f0217d2321f5
Electric Relaxation,Midnight Marauders,A Tribe Called Quest,8,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,243800,False,,,,,,,b31e0c727fca8d236a494b78fe85e99a
Clap Your Hands,Midnight Marauders,A Tribe Called Quest,9,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,196493,False,,,,,,,aefd9a1aa43fff11a27854fc04282a47
Oh My God,Midnight Marauders,A Tribe Called Quest,10,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,208840,False,,,,,,,20c1f5d7882deb917495e9dc68926fe6
Keep It Rollin',Midnight Marauders,A Tribe Called Quest,11,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,186066,False,,,,,,,83066c6676ea01269fdce03b7f28b1c3
"The Chase, Part II",Midnight Marauders,A Tribe Called Quest,12,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,242373,False,,,,,,,c5dee376b82e056ff4ed8b15a682ae8d
Lyrics to Go,Midnight Marauders,A Tribe Called Quest,13,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,249026,False,,,,,,,9bed20066eec34dcafc8ae9df2372524
God Lives Through,Midnight Marauders,A Tribe Called Quest,14,A Tribe Called Quest,1993-11-09,2017-11-25T15:50:08Z,255546,False,,,,,,,110a6443233effa0c818c6a3174a7aed
Push It Along,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,1,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,454280,False,,,,,,,43ba10ae696822f10a4788b493003862
Luck of Lucien,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,2,A Tribe Called Quest,1990-04-17,2017-11-25T15:50:05Z,282520,False,,,,,,,5aab52d844edd995efb4620d807b2ff6
